NODE DISPLACEMENTS
----------------------------------------
NODE       DX(M)       DY(M)       DM(M)
1      0.000E+00   0.000E+00   0.000E+00
2      2.585E-04  -2.111E-04   3.338E-04
3      3.646E-04  -2.950E-04   4.690E-04
4      2.563E-04  -2.171E-04   3.359E-04
5      6.368E-05  -2.814E-04   2.885E-04
6      6.491E-05  -1.519E-04   1.651E-04
7      2.092E-04   1.208E-04   2.416E-04
8      1.517E-04  -3.254E-04   3.590E-04

ELEMENT FORCES AND STRESSES
----------------------------------------
EL.       FORCE(N)     STRESS(PA)
1    +3.552348E+03  +2.368232E+06
2    +7.584456E+03  +5.056304E+06
3    +1.666730E+03  +1.111153E+06
4    -2.981424E+03  -1.987616E+06
5    -2.276646E+03  -1.517764E+06
6    -4.564355E+03  -3.042903E+06
7    -9.625115E+03  -6.416744E+06
8    +5.415816E+03  +3.610544E+06
9    -9.625115E+03  -6.416744E+06
10   +5.587935E-12  +3.725290E-09
11   -9.625115E+03  -6.416744E+06
12   +4.365575E-13  +2.910383E-10
13   +2.876547E+03  +1.917698E+06

SUPPORT REACTIONS
----------------------------------------
NODE       RX(N)       RY(N)       RM(N)
1     -1.010E+04  -2.512E+03   1.040E+04
7     -3.929E+03   6.806E+03   7.859E+03
